,INST,DATE,QTREND,TOP_a1,TOP_a2,TOP_a3,FINAL,R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C2,R3C3,R3C4,R4C1,R4C2,R4C3,R4C4,R5C1,R5C4,R6C4,R7C1,R7C2,R7C3,R7C4,R8C1,R8C2,R8C3,R8C4,R9C1,R9C2,R9C3,R9C4,R10C4,R11C2,R11C3,R11C4,R12C2,R12C3,R12C4,R13C1,R13C2,R13C3,R13C4,R14C1,R14C2,R14C3,R14C4,R15C1,R15C4,R16C2,R16C3,R16C4,R17C1,R17C2,R17C3,TOTQTREXP,R5C3,R5C2,R6C1,R6C2,R6C3,R10C1,R10C2,R10C3,filename,folder
10,Conservatory of Recording Arts & Sciences,07/23/2021,06/30/2021,0,0,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,06302021HEERFIIQuarterlyReporting.txt,Conservatory of Recording Arts  Sciences
11,Conservatory of Recording Arts & Sciences,4/1/2021,03/31/2021,463496,0,0,On,0,0,0,,145097,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,145097,0,0,463496,0,0,0,0,0,0,0,0,3.txt,Conservatory of Recording Arts  Sciences
12,Crowley's Ridge College,07/12/2021,06/30/2021,779016,30384,221997,Off,1800,0,0,,0,0,0,,0,0,,08705.36,0,0,,0,,,0,0,0,,0,0,0,,36183.35,0,0,,,0,0,,0,0,,08075,0,0,,0,0,0,,04925,Remodel - improvements to Honor Housing and Apartments,0,0,,157830,0,0,157830,0,0,0,0,0,0,0,0,HEERFQuarterlyReport6.txt,Crowleys Ridge College
13,Dine' College,04/07/2021,03/31/2021,673466.00,03587030,0,Off,315800.00,0,0,Student Relief Aid Checks were distributed to students who completed applications and are considered eligible.,0,0,0,,0,0,,79136.31,0,0,Technology service charges in relation to Campus Safety and COVID response to encourage distance learning.,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,31380.00,0,0,Start up software subscriptions for faculty of distance learning tools to be used for students. Software for staff to implement of Academic Program Reviews efficiently.,0,0,0,,0,,0,0,,426316,0,0,426316,0,0,0,0,0,0,0,0,heerfquarterlyreporting20210407.txt,Dine College
14,Eastern College of Health Vocations,04/12/2021,03/31/2021,666034,0,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,17205.4,0,0,,,0,0,,0,0,,0,0,0,,34096.73,0,0,,0,,0,0,,51898.51,0,0,51898.51,0,0,0,0,0,596.38,0,0,INSTheerfquarterlyreporting03312021.txt,Eastern College of Health Vocations
15,Ecclesia College,04/09/2021,3/30/2021,,0,344533,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,faculty laptop,,0,0,0,,0,0,0,,0,0,61,classroom reconfiguration (projector screen wall switch),,0,0,,0,6000,campus auditorium monthly rental lost revenue (Aug-Dec),0,0,0,,0,0,18201,upgrade campus WiFi,0,,0,0,,0,0,28169,28169,3907,0,0,0,0,0,0,0,QuarterlyReport210330.txt,Ecclesia Inc
16,Enterprise State Community College,1/15/2021,12/31/2020,620368,60538,0,Off,0,0,0,,579.75,0,0,,0,0,,0,0,0,,0,,,0,0,0,,281860.49,60538,0,Cost associated with paying instructors through summer months to complete labs for Spring classes.,10848.43,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,293288.67,60538,0,353826.67,0,0,0,0,0,0,0,0,heerfquarterlyreportingDEC312020v131.txt,ENTERPRISE STATE COMMUNITY COLLEGE
17,Heritage Christian University,,12/30/2020,0,0,474000.00,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,HEERFQuarterlyReport10.txt,Heritage Christian University
18,Ilisagvik College,07/08/2021,06/30/2021,165973,2034415,0,Off,0,0,0,,0.00,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,12100,0,,,0,0,,0,0,Lost revenue from dorms and food service (based on amount refunded to students),0,0,0,,0,220859,0,,14608.51,Financial aid outreach and vaccination PTO,523496,0,Costs associated with payroll,24069,765836,0,780445,0,0,0,0,0,0.00,09380.73,0,ICQ22021Report.txt,Ilisagvik College
19,J. F. Drake State Community & Technical College,07/08/2021,06/30/2021,2855757,6076740,0,Off,140714.79,4984.85,0,,0,0,0,,0,0,,0,14855.78,0,,0,,,0,0,0,,0,0,0,,0,102329.97,0,,,0,0,,0,0,,1400.00,0,0,,111766.77,346309.65,0,,0,,0,0,,309711.74,468481.00,0,778193.00,0,0,0,0,0,55830.18,0,0,HEERF2020June202021HBCU.txt,J. F. Drake State Community and Technical College
20,J. F. Drake State Community & Technical College,04/05/2021,03/31/2021,380881,966277,0,Off,0,9898.87,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,12108.97,47290.92,0,,,173719.00,0,,0,0,,200.00,0,0,,71495.57,202519.00,0,,0,,0,0,,83805,433428,0,517233.00,0,0,0,0,0,0,0,0,HEERF20I2020March202021.txt,J. F. Drake State Community and Technical College
21,J.F. Ingram State Technical College,07/08/2021,06/30/2021,224132,0,51736,On,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,12121,0,0,Purchased PPE and cleaning supplies.,,0,51736,,0,0,,0,0,0,,45581.81,0,0,Enable Distance Learning,3875.77,Salaries and Benefits associated with Employees Quarantined due to COVID-19,0,0,,61579,0,51736,113315,0,0,0,0,0,0,0,0,HEERFQuarterlyBudgetandExpenditureReport063021.txt,J.F. Ingram State Technical College
22,Jacksonville State University,10/30/2020,09/30/2020,3025320,295687,0,Off,0,0,0,,1541291.68,0,0,student housing and meal reimbursements,0,0,,27200.74,0,0,online tutoring and online proctoring,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,7500,0,0,Audio visual support and training for online instruction,0,0,0,,0,,0,0,,1575993,0,0,,0,0,0,0,0,0,0,0,heerfinstitutionalreportingformfinal1016201603133030999.txt,Jacksonville State University
23,Jacksonville State University,07/09/2021,06/30/2021,16166003,731088,0,Off,0,7204,0,Gap scholarships,0,0,0,,0,0,,,0,0,,0,,,0,0,0,,0,0,0,,1542.5,0,0,PPE; sanitizing supplies,,0,0,,0,0,,16500,0,0,AV and recording support for online lectures,850683.23,0,0,additional computers; extra routers,440661.75,COVID testing; faculty and staff covid related payroll,0,0,,1309388,7204,0,1316592,0,0,0,0,0,0,0,0,Quarterlyreportending63021.txt,Jacksonville State University
24,John C. Calhoun State Community College,7/8/21,6/302021,18454227,635639,0,Off,3119906,0,0,,0,0,0,,0,0,,116561,0,0,,5402,,,0,0,0,,0,0,0,,56269,0,0,,,0,0,,0,0,,0,0,0,,94759,0,0,,0,,0,0,,3448819,0,0,3448819,0,0,0,0,0,5922,0,0,HEERFQuarterlyReportEndingJune302021.txt,JC Calhoun State Community College
25,John C. Calhoun State Community College,01/10/2021,12/31/2020,2196124,218933,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,QuarterlyReportEndingDecember312020HEERFWebsite.txt,JC Calhoun State Community College
26,Jefferson State Community College,1/8/21,12/31/20,"1,864,939","186,273",0,Off,0,0,0,,0,0,0,,0,0,,,0,0,,"9,918.63",,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,"1,574.00",0,0,,0,,0,0,,"11,492.63",0,0,"11,492.63",0,0,0,0,0,0,0,0,HEERFQuarterlyReportendingDecember312020.txt,Jefferson State Community College
27,John Brown University,10/30/2020,09/30/2020,658169,0,0,On,0,0,0,,0658169,0,0,room and board refunds,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,658169,0,0,658169,0,0,0,0,0,0,0,0,heerfquarterlyreportingv131final1.txt,John Brown University
28,Marion Military Institute,01/05/2021,12/31/2021,514237,0,0,Off,,0,0,,0,0,0,,0,0,,0,0,0,,0,,Student Awards,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,"257,119",0,0,"257,119",0,0,"257,119",0,0,0,0,0,CARESheerfquarterlyreporting12.txt,Marion Military Institute
29,Marion Military Institute,04/06/2021,03/31/2021,"742,267",0,"56,867",Off,0,0,0,,,0,0,,0,0,,0,0,0,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,"183,380",0,,Wi-fi/Internet Upgrades,0,,0,0,,"183,380",0,,"183,380",0,0,0,0,0,,0,,heerfquarterlyreporting03.txt,Marion Military Institute
30,Miles Community College,01/05/2021,12/31/2020,246778,0,253222,On,99084,0,2916.,,0,0,,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,59499,,,0,0,,0,69056,,0,0,0,,0,0,98330,,0,,0,0,,99084,0,229801,328885,0,0,0,0,0,0,0,0,HEERFQuarterlyReportDecember31.txt,Miles College
31,NorthWest Arkansas Community College,03/31/2021,03/31/2021,"$6,897,894","$446,497",$0,Off,$0,$0,$0,,$0,$0,$0,,$0,$0,,$0,$0,$0,,$725,Hotspots,,$0,$0,$0,,$0,$0,$0,,"$213,368","$3,747",$0,"PPE, Queless, Signage, Drop boxes and trays, HVAC Ionization System, Electrostatic Sprayer,",Touch monitors,$0,$0,,$0,$0,,$0,$650,$0,Legislative regulations webinars,$0,$0,$0,,$0,,$0,$0,,"$250,901","$4,397",$0,"$255,298",$0,$0,$0,$0,$0,"$36,808",$0,$0,heerfquarterlybudgetandexpendituremarreport.txt,Northwest Arkansas Community College
32,Oakwood University,04/08/2021,03/31/2021,786875,2115585,0,Off,0,0,0,,0,,0,,0,0,,0,00,0,,0,,,0,0,0,,0,0,0,,0,,,"Purchased COVID Testing supplies digital automated thermometer, mask, shield, gloves, safety gear,. Covid-19 testing and testing sites, health and safety posters, decals, and stickers. and ot",,0,0,,0,0,,9390,0,0,Online/Virtual Course Development payments to Faculty,144416,0,0,"Application, software, Equipment, Supplies, and Laptops to faculty/staff for Virtual Classes & Tele-working",106391,"Media Department/Center -  Instructional equipment and broadcasting equipment for training students and broadcasting OU programing, messaging, events, curricular, and co-curricular information to the students, parents, faculty, board of trustees, and community",,0,,260197,,,,0,0,0,0,0,0,0,0,heerfquarterlyreportingv13104082021OakwoodUniversity.txt,Oakwood University
33,Ouachita Baptist University,"April 1, 2021","March 30,2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBUHEERFII033121.txt,Ouachita Baptist University
34,Ouachita Baptist University,"July 6, 2021 (Final Report on CRRSAA – HEERF II)","June 30,2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OBUHEERFII063021.txt,Ouachita Baptist University
35,Ouachita Baptist University,10/01/2020,09/30/2020,672192,0,0,On,0,0,0,,672192,0,0,"The university issued $1,074,162 in refurnds for room and board in Spring 2020.",0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,672192,0,0,672192,0,0,0,0,0,0,0,0,Ouachitaheerfquarterlyreporting093020.txt,Ouachita Baptist University
36,Samford University,10/22/2020,09/30/2020,1190676,0,0,On,0,0,0,,1190676,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,1190676,0,0,1190676,0,0,0,0,0,0,0,0,CARESActInstitutionalFunding.txt,Samford University
37,Snead State Community College,7/5/21,6/30/21,619599.00,61301.00,0,On,0.00,61301,0,,0.00,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,23235,0,0,ACCS Purchases,595792,Fall 2020 lost revenue under CRRSAA guidance,0,0,,619027,61301,0,680328,0,0,0,0,0,0,0,0,HEERF2021CARESQuarterlyReportInstitutionalReliefJune302021FinalReport.txt,Snead State Community College
38,Snead State Community College,7/5/21,6/30/21,619599,107769,0,Off,7531,107769,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,708,0,0,,,0,0,,0,0,,0,0,0,,57270,0,0,,0,,0,0,,178495,107769,0,286264,0,0,0,0,0,69334.48,0,0,HEERF2021CRRSAAInstitutionalReliefQuarterlyReportingJune302021.txt,Snead State Community College
39,Southeast Arkansas College,4/10/2021,3/31/2021,2560591,211299,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,67360.75,4238.89,0,,,0,0,,0,0,,0,5532,0,,4275.98,0,0,,0,,0,0,,71636.73,9770.89,0,81407.62,0,0,0,0,0,0,0,0,HEERF20March2031202021.txt,Southeast Arkansas College
40,Southern Arkansas University Tech,"October 5, 2020","September 30, 2020",391455,38543,0,Off,,,,,,,,,,,,,,,,6100,,,7965,,,,68086,,,,30598,,,,,,,,,,,,,,,,,,,,,,,,112749,,,112749,,,,,,,,,HEERFQuarterlyBudgetandExpenditurePublicPosting.txt,Southern Arkansas University Tech
41,Southern Arkansas University Tech,07/12/2021,06/30/2021,2802214,101800,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0320750,0,0,,0,,0,0,,320750,0,0,320750,0,0,0,0,0,0,0,0,HEERFquarterlyreporting.txt,Southern Arkansas University Tech
42,,,3/31/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEERFreportinginstuitionalreport33121.txt,Southern Union State Community College
43,Beauty Education Inc. PJS College,12/31/2020,12/31/2020,"148,700.00",0.00,0.00,Off,0.00,0.00,0.00,,,,,,0.00,0.00,,0.00,0.00,0.00,,"$5,399.73",,School does not offer off campus housing,0.00,0.00,0.00,School does not offer food service,"$5,000.00",0.00,0.00,,"$1,085.65",0.00,0.00,,,0.00,0.00,reduced enrollment in workplace education,0.00,0.00,,,0.00,0.00,,$938.67,0.00,0.00,,0.00,,0.00,0.00,,"$115,413.97",0.00,0.00,"$115,413.97",0.00,0.00,0.00,0.00,0.00,"10,295.46",0.00,0.00,HEERFQuarterlyBudgetandExpenditurePublicPosting20CL02241700.txt,SPA PARTNERS LLC
44,Talladega College,04/06/2021,03/31/2021,1034772,2258776,0,Off,0,0,0,,0,0,0,,0,0,,88459,116764,0,"To ensure uninterrupted access to information and other learning resources,  the College is providing students with access to technology which also facilitates social distancing in the smaller classroom spaces.  This is the first installment payment for Chromebooks  for  213 full-time students @ $547 each.   Chromebooks for an additional 600 students are being providing under the CRRSAA institutional program.",0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,88459,28305,0,116764,0,0,0,0,0,0,0,0,3rdQuarterCARESReportFormforquarterendingMarch312021.txt,Talladega College
45,UAH,07/10/2021,06/30/2021,17856351,0,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,heerfquarterlyreportingv1316302021.txt,The University of Alabama in Huntsville
46,UAH,10/30/2020,09/30/2020,2839879,0,0,On,,0,0,,02839879,0,0,"Housing, meals, and parking refunds issued to students.  This is charged to account 301517.",0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,2839879,0,0,2839879,0,0,0,0,0,0,0,0,heerfquarterlyreportingv1319302020r2.txt,The University of Alabama in Huntsville
47,Troy University,7.10.21,6.30.21,29129340,0,0,Off,710,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,139384,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,306088.97,,0,0,,017192510,0,0,17192510,0,0,0,0,0,1184299,0,0,heerf063021.txt,Troy University
48,Tuskegee University,10/30/2020,09/30/2020,1876261,7865155,0,Off,0,0,0,,853917,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,27373140,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,853917,2737314,0,3591231,0,0,0,0,0,0,0,0,Heerfquarterlyreportingv131093020Final.txt,Tuskegee University
49,University of Arkansas - Fort Smith,01/08/2021,12/31/2020,2755651,268089,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,6577.58,,,0,0,0,,98589.68,0,0,,14609.15,0,0,,,0,0,,0,0,,9994.92,0,0,,128319.42,0,0,,517181.88,Please see attachment for details,0,0,,777804.35,0,0,777804.35,0,0,0,0,0,2531.72,0,0,heerfquarterlyreportingv13112312020withattachment.txt,University of Arkansas  Fort Smith
50,University of Arkansas at Little Rock,04/12/2021,03/31/2021,2978250,295885,0,On,0,0,0,,0,0,0,,0,0,,,0,0,,0,,,0,0,0,,0,0,0,,9882,0,0,,,0,0,,0,0,,425,0,0,,134769,,0,"Purchased software, computers and audiovisual equiment to enable distance learning.",33985,Reimburse salary and benefits for transition to online instruction. Reimburse salary and benefits for housing and related areas.,0,0,,172953,0,0,172953,0,0,0,0,0,0,0,0,heerfquarterlyreportingv131March312021.txt,University of Arkansas at Little Rock
51,University of Arkansas at Monticello,03/10/2021,03/31/2021,1611656,158296,0,On,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,122663.49,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0,122663,0,122663,0,0,0,0,0,0,0,0,HEERFQuarterlyReporting03312021.txt,University of Arkansas at Monticello
52,University of Arkansas Community College at Hope-Texarkana,2/2/2021,9/30/2020,405962.94,056746,0,Off,012932,0,0,Amount paid to students from Institutional portion,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,53983.67,0,0,Purchased LCD projectors for classrooms,29965.42,0,0,Purchased PPE and Medical Virtual Care,"Purchased Webcams, Mic/headsets, Doc Scanner, Doc Cameras, Speakers & accessories",56746,0,"Fall and Summer II semester revenue (2019 compared to 2020 was $106,014; limited to the amount of the SIP grant.)",0,0,,,0,0,,289206.86,0,0,"Laptops for distance learning, firewall, core switches, wireless access, WiFi, Fiber optic cable, transceivers, Respondus software",3100.31,Hired additional staff to install laptops,0,0,,405962.94,56746,0,462708.94,0,0,0,0,0,16774.68,0,0,heerfquarterlyreportingv1319302020.txt,University of Arkansas Community College at HopeTexarkana
53,University of Arkansas Community College at Hope-Texarkana,6/28/2021,3/31/2021,0,0,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,2539.59,0,0,,,0,0,,0,0,,0,0,0,,101611.32,0,0,,0,,0,0,,0105955.8,0,0,105955.8,0,0,0,0,0,1804.89,0,0,InstitutionalPortion3312021HEERFI.txt,University of Arkansas Community College at HopeTexarkana
54,University of Mobile,1/10/2021,12/31/2020,628711,61376,0,Off,0,0,0,,541995,61376.00,0,100% of the institutional portion of the (a)(1) and 100% of the (a)(2) awards were used for reimbursement for room and board refunds for Spring 2020.,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,524625.00,61376.00,0,586001.00,0,0,0,0,0,0,0,0,heerfquarterlyreportingv13112312020posted011020211.txt,University of Mobile
55,University of North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quarterlyreportforjune2021institutional.txt,University of North Alabama
56,University of West Alabama,07/09/2021,06/30/2021,7144458,390371,0,Off,0,0,0,,0,0,0,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,5015.24,5029.13,0,"PPE, Cleaning efforts & supplies, Test kits",,0,0,Tuition & Student Fees FY 2020,0,0,"Dorm, Meal Plan, Printing, Campus School, Cinema, Camps, Parking, & Applications FY 2020",0,0,0,,81803,62897.92,0,"Cameras, Microphones, Tablets, Software, & etc. for Distance Learning",0,,18603.93,0,CARES related personnel costs & Overhead,3321071.38,86530.98,0,3407602.36,0,0,0,0,0,0,0,0,heerfquarterlyreporting0630215B855D.txt,University of West Alabama
57,WALLACE STATE COMMUNITY COLLEGE,01-10-2021,12/31/2020,2032401.00,0200285,0,Off,0,0,,,0,0,,,0,0,,0,0,0,,80.02,,,0,0,0,,0,0,0,,,0,0,,,0,0,,0,0,,0,0,0,,2868,0,0,,,,,0,,2949,0,,2949,0,0,0,0,0,,0,0,heerfquarterlyreportingv13112312020.txt,Wallace State Community College  Hanceville
58,Washington Barber College,10/10/20,09/30/20,10923.00,,,Off,,,,,,,,,,,,12423.00,,,,,,,,,,,,,,,41281.00,,,,,,,,,,,,,,,6129.00,,,,,,,,,79833.00,,,79833.00,,,,,,,,,HEERFQuarterlyExpenditures093020.txt,WASHINGTON BARBER COLLEGE
59,Williams Baptist University,10/21/2020,09/30/2020,0264360,025701,0,On,0,0,0,,0264360,025701,0,"WBU used the institutional portion, section (a)(1) and the MSI setion (a) (2) to cover the costs of housing refunds of $1000 to residential students.",0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,,0,0,,0,0,,0,0,0,,0,0,0,,0,,0,0,,0264360,025701,0,290061,0,0,0,0,0,0,0,0,heerfquarterlyreporting2010b.txt,Williams Baptist University
